Ordem,Cond pgto,Condição pagamento
10074349,0001,Demais
7134341,C091,Demais
6504944,C091,Demais
6496976,C091,Demais
6650785,C091,Demais
7447651,C091,Demais
7454021,C091,Demais
7698610,C091,Demais
8032774,C091,Demais
7769042,C091,Demais
8305571,C091,Demais
7947028,C091,Demais
7901232,C091,Demais
9696593,C091,Demais
9491547,C091,Demais
9333342,C091,Demais
9334526,C091,Demais
9369856,C091,Demais
9377308,C091,Demais
9882475,C091,Demais
9518555,C091,Demais
9631741,C091,Demais
9876361,C091,Demais
9900825,C091,Demais
9328751,C091,Demais
9328927,C091,Demais
9706530,C091,Demais
9280432,C091,Demais
10066178,C091,Demais
9993572,C091,Demais
10261633,C091,Demais
10360990,C091,Demais
9319886,C091,Demais
11176557,C091,Demais
11113155,C091,Demais
11190721,C091,Demais
11332340,C091,Demais
11291475,C091,Demais
11406038,C091,Demais
11510616,C091,Demais
11240795,C091,Demais
9988572,C091,Demais
13305178,C091,Demais
13666311,C091,Demais
13701190,C091,Demais
13806683,C091,Demais
13923594,C091,Demais
13967240,C091,Demais
18044322,C091,Demais
18889248,C091,Demais
18451718,C091,Demais
19125472,C091,Demais
18024931,C091,Demais
18023587,C091,Demais
19210092,C091,Demais
18016397,C091,Demais
18120837,C091,Demais
19394304,C091,Demais
19370365,C091,Demais
19413808,C091,Demais
19371989,C091,Demais
19442355,C091,Demais
19444125,C091,Demais
19451759,C091,Demais
19430484,C091,Demais
19466846,C091,Demais
19442852,C091,Demais
19487994,C091,Demais
18739099,C091,Demais
18748636,C091,Demais
19195509,C091,Demais
19568584,C091,Demais
18792506,C091,Demais
18856551,C091,Demais
19491269,C091,Demais
19441739,C091,Demais
18708317,C091,Demais
18735199,C091,Demais
19365304,C091,Demais
19499550,C091,Demais
18727684,C091,Demais
19543644,C091,Demais
18945290,C091,Demais
18748396,C091,Demais
18739320,C091,Demais
18995585,C091,Demais
19512632,C091,Demais
10056547,C091,Demais
10376351,C091,Demais
10530240,C091,Demais
10772130,C091,Demais
11102929,C091,Demais
11347656,C091,Demais
11669013,C091,Demais
11753396,C091,Demais
11759671,C091,Demais
12043412,C091,Demais
13307665,C091,Demais
13556396,C091,Demais
13948090,C091,Demais
13973414,C091,Demais
14057195,C091,Demais
14382423,C091,Demais
15178264,C091,Demais
15616759,C091,Demais
15698294,C091,Demais
16595261,C091,Demais
16651489,C091,Demais
16687581,C091,Demais
16804498,C091,Demais
16812123,C091,Demais
16939558,C091,Demais
17002070,C091,Demais
17013568,C091,Demais
17020636,C091,Demais
17189684,C091,Demais
17927790,C091,Demais
17974428,C091,Demais
17980327,C091,Demais
18022819,C091,Demais
18024927,C091,Demais
18025392,C091,Demais
18025582,C091,Demais
18041120,C091,Demais
18042236,C091,Demais
18043323,C091,Demais
18051709,C091,Demais
18077450,C091,Demais
18084429,C091,Demais
18098591,C091,Demais
18104843,C091,Demais
18105571,C091,Demais
18111360,C091,Demais
18113290,C091,Demais
18121171,C091,Demais
18121765,C091,Demais
18123138,C091,Demais
18123860,C091,Demais
18135550,C091,Demais
18140616,C091,Demais
18153969,C091,Demais
18191190,C091,Demais
18227145,C091,Demais
18235288,C091,Demais
18249632,C091,Demais
18254572,C091,Demais
18255347,C091,Demais
18276997,C091,Demais
18281748,C091,Demais
18287993,C091,Demais
18300638,C091,Demais
18324169,C091,Demais
18338700,C091,Demais
18355587,C091,Demais
18383386,C091,Demais
18385251,C091,Demais
18389916,C091,Demais
18392498,C091,Demais
18392856,C091,Demais
18393041,C091,Demais
18394172,C091,Demais
18395659,C091,Demais
18396873,C091,Demais
18397635,C091,Demais
18397688,C091,Demais
18400347,C091,Demais
18400559,C091,Demais
18400715,C091,Demais
18402173,C091,Demais
18402298,C091,Demais
18403693,C091,Demais
18405126,C091,Demais
18411414,C091,Demais
18412811,C091,Demais
18413314,C091,Demais
18413403,C091,Demais
18414135,C091,Demais
18431206,C091,Demais
18431974,C091,Demais
18433595,C091,Demais
18436138,C091,Demais
18445075,C091,Demais
18462647,C091,Demais
18467564,C091,Demais
18486057,C091,Demais
18493869,C091,Demais
18500010,C091,Demais
18511644,C091,Demais
18517875,C091,Demais
18519298,C091,Demais
18521175,C091,Demais
18524683,C091,Demais
18525902,C091,Demais
18527588,C091,Demais
18542151,C091,Demais
18543621,C091,Demais
18543710,C091,Demais
18547995,C091,Demais
18556765,C091,Demais
18557386,C091,Demais
18558496,C091,Demais
18559569,C091,Demais
18559571,C091,Demais
18562290,C091,Demais
18562845,C091,Demais
18565094,C091,Demais
18565232,C091,Demais
18566231,C091,Demais
18568130,C091,Demais
18568527,C091,Demais
18571511,C091,Demais
18601927,C091,Demais
18611877,C091,Demais
18619554,C091,Demais
18636265,C091,Demais
18640354,C091,Demais
18644178,C091,Demais
18644184,C091,Demais
18655499,C091,Demais
18658298,C091,Demais
18659420,C091,Demais
18661090,C091,Demais
18664080,C091,Demais
18665870,C091,Demais
18668341,C091,Demais
18668343,C091,Demais
18669177,C091,Demais
18674150,C091,Demais
18676023,C091,Demais
18676577,C091,Demais
18676892,C091,Demais
18676893,C091,Demais
18678473,C091,Demais
18678587,C091,Demais
18679482,C091,Demais
18679483,C091,Demais
18682786,C091,Demais
18683888,C091,Demais
18684248,C091,Demais
18684250,C091,Demais
18684593,C091,Demais
18685256,C091,Demais
18685363,C091,Demais
18685441,C091,Demais
18686270,C091,Demais
18686676,C091,Demais
18686776,C091,Demais
18689075,C091,Demais
18689837,C091,Demais
18692582,C091,Demais
18692899,C091,Demais
18693456,C091,Demais
18694059,C091,Demais
18694387,C091,Demais
18694959,C091,Demais
18695180,C091,Demais
18696526,C091,Demais
18698199,C091,Demais
18698446,C091,Demais
18698488,C091,Demais
18699047,C091,Demais
18699720,C091,Demais
18703700,C091,Demais
18704046,C091,Demais
18704830,C091,Demais
18705860,C091,Demais
18707113,C091,Demais
18707332,C091,Demais
18707422,C091,Demais
18707426,C091,Demais
18707537,C091,Demais
18708057,C091,Demais
18708845,C091,Demais
18709003,C091,Demais
18709603,C091,Demais
18710238,C091,Demais
18710371,C091,Demais
18710467,C091,Demais
18710673,C091,Demais
18710961,C091,Demais
18711074,C091,Demais
18711998,C091,Demais
18713331,C091,Demais
18713372,C091,Demais
18713384,C091,Demais
18714894,C091,Demais
18715699,C091,Demais
18715979,C091,Demais
18716477,C091,Demais
18717383,C091,Demais
18717987,C091,Demais
18718002,C091,Demais
18718058,C091,Demais
18718101,C091,Demais
18718458,C091,Demais
18718597,C091,Demais
18718680,C091,Demais
18719999,C091,Demais
18720150,C091,Demais
18720479,C091,Demais
18720481,C091,Demais
18720756,C091,Demais
18720836,C091,Demais
18721570,C091,Demais
18721793,C091,Demais
18722054,C091,Demais
18722258,C091,Demais
18722261,C091,Demais
18722651,C091,Demais
18722975,C091,Demais
18723072,C091,Demais
18723264,C091,Demais
18723787,C091,Demais
18723844,C091,Demais
18723899,C091,Demais
18724163,C091,Demais
18725025,C091,Demais
18725995,C091,Demais
18726496,C091,Demais
18726670,C091,Demais
18726881,C091,Demais
18727328,C091,Demais
18727332,C091,Demais
18727409,C091,Demais
18727514,C091,Demais
18727564,C091,Demais
18728320,C091,Demais
18728334,C091,Demais
18728409,C091,Demais
18728609,C091,Demais
18728658,C091,Demais
18729045,C091,Demais
18729861,C091,Demais
18730119,C091,Demais
18730532,C091,Demais
18730602,C091,Demais
18730795,C091,Demais
18730978,C091,Demais
18730983,C091,Demais
18731340,C091,Demais
18731534,C091,Demais
18731859,C091,Demais
18732594,C091,Demais
18732926,C091,Demais
18732949,C091,Demais
18733141,C091,Demais
18733320,C091,Demais
18733352,C091,Demais
18733632,C091,Demais
18733815,C091,Demais
18734374,C091,Demais
18734627,C091,Demais
18734743,C091,Demais
18734759,C091,Demais
18734888,C091,Demais
18734963,C091,Demais
18735829,C091,Demais
18736912,C091,Demais
18737332,C091,Demais
18737628,C091,Demais
18737844,C091,Demais
18737847,C091,Demais
18738545,C091,Demais
18738809,C091,Demais
18738935,C091,Demais
18739055,C091,Demais
18739133,C091,Demais
18739317,C091,Demais
18739456,C091,Demais
18739495,C091,Demais
18740412,C091,Demais
18740435,C091,Demais
18740586,C091,Demais
18740587,C091,Demais
18740710,C091,Demais
